Case,Total victims,Location,Prior signs of possible mental illness,Type,cloud,Injured,Type of weapons,Mental Health Sources,latitude,Weapon details,Gender,Venue,Summary,tokens,Date,Race,Weapons obtained legally,Mental Health,longitude,Sources,Fatalities,Year,Where obtained
Luby's massacre,44,"Killeen, Texas",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",20,Two semiautomatic handguns,http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm,31.1171194,"9mm Glock 17, 9mm Ruger P89 semiautomatic handguns",Male,Other,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.","['george', 'hennard', '35', 'drove', 'pickup', 'truck', ""luby's"", 'cafeteria', 'opened', 'fire', 'committing', 'suicide', 'acquaintances', 'described', 'troubled', 'unstable', 'combative', 'misogynistic', 'made', 'convenience', 'store', 'employees', 'nervous']",10/16/1991,white,Yes,"Acquaintances described him as troubled, unstable, combative, and misogynistic. He made convenience store employees ""nervous.""",-97.7277959,http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm,24,1991,"Mike's Gun Shop in Henderson, Nev."
GMAC massacre,14,"Jacksonville, Florida",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",4,"One rifle, one revolver",http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html,30.3321838,.30-caliber Universal M1 carbine rifle; .38-caliber revolver,Male,Other,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)","['james', 'edward', 'pough', '42', 'opened', 'fire', 'general', 'motors', 'acceptance', 'corporation', 'office', 'committing', 'suicide', 'day', 'prior', 'pough', 'killed', 'pimp', 'prostitute', 'injured', 'two', 'others', 'victims', 'included', 'mass', 'murder', 'count', 'police', 'speculated', 'grudge', 'people', 'killed']",6/18/1990,black,Yes,"Police speculated he had a ""grudge"" against the people he killed. ",-81.655651,http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html; http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html?pagewanted=all&src=pm,10,1990,Unknown
Standard Gravure shooting,21,"Louisville, Kentucky",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",12,"Three semiautomatic handguns (two assault), one rifle (assault), one revolver",http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html,38.2542376,"Two Intratec MAC-11, 9mm SIG Sauer semiautomatic handguns; AK-47 Chinese variant semiautomatic rifle; .38-caliber revolver",Male,Workplace,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.","['joseph', 't', 'wesbecker', '47', 'gunned', 'eight', 'people', 'former', 'workplace', 'committing', 'suicide', 'prior', 'shooting', 'voluntarily', 'checked', 'hospitals', 'mental', 'problems', 'least', 'twice', 'attempted', 'suicide', 'three', 'times']",9/14/1989,white,Yes,"Prior to the shooting, he had voluntarily checked into hospitals for mental problems at least twice and attempted suicide three times. ",-85.759407,http://nl.newsbank.com/nl-search/we/Archives?p_product=LH&s_site=kentucky&p_multi=LH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB73C025033DC82&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html?pagewanted=all&src=pm,9,1989,"AK-47 purchased from Tilford's Gun Sales in Louisville, Ky. "
Stockton schoolyard shooting,35,"Stockton, California",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",29,"One semiautomatic handgun, one rifle (assault)",http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304,37.9577016,9mm Taurus semiautomatic handgun; AK-47 Chinese variant semiautomatic rifle,Male,School,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.","['patrick', 'purdy', '26', 'alcoholic', 'police', 'record', 'launched', 'assault', 'cleveland', 'elementary', 'school', 'many', 'young', 'southeast', 'asian', 'immigrants', 'enrolled', 'purdy', 'killed', 'shot', 'head', 'told', 'mental', 'health', 'professional', 'struggling', 'resist', 'actions', 'thoughts', 'destructive', 'nature', 'also', 'suffered', 'alcoholism']",1/17/1989,white,Yes,"He told a mental health professional he was ""struggling to resist actions on thoughts which are destructive in nature."" He also suffered from alcoholism. ",-121.2907796,"http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html",6,1989,"Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif."
ESL shooting,11,"Sunnyvale, California",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",4,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",http://books.google.com/books?id=JiQUkwBnzgYC&pg=PA44&lpg=PA44&dq=richard+farley+ESL+psychological&source=bl&ots=PqxDlDtznK&sig=K-p8vEN7M2AEdRC0KpxVHjXZN7M&hl=en#v=onepage&q=richard%20farley%20ESL%20psychological&f=false; http://caselaw.findlaw.com/ca-supreme-court/1295931.html,37.3688301,".380 ACP Browning, 9mm Smith & Wesson semiautomatic handguns; Ruger M-77 .22-250 bolt-action rifle with scope; Mossberg 12-gauge pump-action, 12-gauge Benelli semiautomatic shotguns; .357 Magnum Smith & Wesson, .22 Sentinel WMR revolvers",Male,Workplace,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace. He was later arrested and now sits on death row at San Quentin.","['former', 'esl', 'incorporated', 'employee', 'richard', 'farley', '39', 'gunned', 'seven', 'people', 'former', 'workplace', 'later', 'arrested', 'now', 'sits', 'death', 'row', 'san', 'quentin', 'stalked', 'harassed', 'colleague', 'laura', 'black', 'four', 'years', 'granted', 'temporary', 'restraining', 'order', 'aginst', 'fired', 'bizarre', 'behavior', 'ordered', 'undergo', 'psychological', 'counseling']",2/16/1988,white,Yes,"He stalked and harassed his colleague Laura Black for four years until she was granted a temporary restraining order aginst him. Before he was fired for his bizarre behavior, he was ordered to undergo psychological counseling. ",-122.0363496,"http://articles.latimes.com/1988-02-18/news/mn-43514_1_mr-farley-richard-farley-sunnyvale-public-safety-department; http://news.google.com/newspapers?id=uqxAAAAAIBAJ&sjid=sDIHAAAAIBAJ&pg=2425,5898911&dq=richard+farley+shooting&hl=en; http://news.google.com/newspapers?id=FmYzAAAAIBAJ&sjid=WzIHAAAAIBAJ&pg=7028,576811&dq=richard+farley+shooting&hl=en",7,1988,Various sporting goods and gun stores in Northern California
Shopping centers spree killings,20,"Palm Bay, Florida",Yes,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",14,"One rifle, one revolver, one shotgun",(Supreme Court of Florida Document) http://www.murderpedia.org/male.C/images/cruse_william_b/op-74656.pdf,28.0331886,"Sturm, Ruger Mini-14 semiautomatic rifle; 20-gauge Winchester pump-action shotgun; .357 Ruger Blackhawk revolver",Male,Other,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009.","['retired', 'librarian', 'william', 'cruse', '59', 'paranoid', 'neighbors', 'gossiped', 'gay', 'drove', 'publix', 'supermarket', 'killing', 'two', 'florida', 'tech', 'students', 'en', 'route', 'opening', 'fire', 'outside', 'killing', 'woman', 'drove', 'winn', 'dixie', 'supermarket', 'killed', 'three', 'including', 'two', 'police', 'officers', 'cruse', 'arrested', 'taking', 'hostage', 'died', 'death', 'row', '2009', 'suffered', 'paranoid', 'delusions', 'judge', 'found', 'suffered', 'extreme', 'mental', 'illness']",4/23/1987,white,Yes,"He suffered from paranoid delusions. A judge found that he suffered from ""extreme mental illness.""",-80.6429695,http://articles.latimes.com/1987-04-25/news/mn-990_1_palm-bay-police,6,1987,"Gun store in Norwood, Ohio; The Oaks Trading Post in Melbourne, Fla."
United States Postal Service shooting,21,"Edmond, Oklahoma",Unclear ,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",6,Three semiautomatic handguns,http://newsok.com/sherrill-feared-mental-illness-rejected/article/2177416,35.6672015,".22-caliber, two .45-caliber Colt Model 1911-A1 semiautomatic handguns",Male,Workplace,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.","['postal', 'worker', 'patrick', 'sherrill', '44', 'opened', 'fire', 'post', 'office', 'committing', 'suicide', 'worried', 'inherited', 'mental', 'problems', 'rebuffed', ""pastor's"", 'suggestion', 'seek', 'psychiatric', 'counseling', 'family', 'members', 'denied', 'history', 'mental', 'illness']",8/20/1986,white,Yes,He was worried he had inherited mental problems and rebuffed a pastor's suggestion he seek psychiatric counseling. His family members denied he had a history of mental illness.,-97.42937037,"http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en",15,1986,"Issued by Oklahoma National Guard, where Sherrill served, for target competition  "
San Ysidro McDonald's massacre,41,"San Ysidro, California",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",19,"One semiautomatic handgun, one rifle (assault), one shotgun",http://www.nctimes.com/news/local/article_2ba4343e-7009-54ce-98df-79a23ff8d0d7.html,32.5520013,9mm Browning P35 Hi-Power semiautomatic handgun; 9mm Israeli Military Industries Uzi Model A carbine semiautomatic rifle; 12-gauge Winchester 1200 pump-action shotgun,Male,Other,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer.","['james', 'oliver', 'huberty', '41', 'opened', 'fire', ""mcdonald's"", 'restaurant', 'shot', 'dead', 'police', 'officer', 'day', 'shooting', 'tried', 'make', 'appointment', 'mental', 'health', 'clinic']",7/18/1984,white,Yes,"The day before the shooting, he tried to make an appointment at a mental health clinic. ",-117.0430813,http://www.utsandiego.com/san-ysidro-massacre/; http://www.vpc.org/studies/wgun840718.htm,22,1984,Unknown
Dallas nightclub shooting,7,"Dallas, Texas",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,One semiautomatic handgun,http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false,32.7801052,9mm Smith & Wesson 459 semiautomatic handgun,Male,Other,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested.","['abdelkrim', 'belachheb', '39', 'opened', 'fire', 'upscale', 'nightclub', 'woman', 'rejected', 'advances', 'later', 'arrested', 'last', 'meal', 'wife', 'confessed', 'depressed', 'visited', 'psychiatric', 'hospitals', 'belgium']",6/29/1984,white,No,"During his last meal with his wife, he confessed he was depressed and had visited psychiatric hospitals in Belgium.",-96.8000082,"http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA38&lpg=PA38&dq=Abdelkrim+Belachheb+mental&source=bl&ots=D56pgdNnnl&sig=grAT08P9HLfPoHVgwlXt8RfPHz0&hl=en&; http://www.nytimes.com/1984/06/30/us/6-die-in-dallas-club-as-enraged-man-fires-wildly.html; http://news.google.com/newspapers?id=gKQyAAAAIBAJ&sjid=WO8FAAAAIBAJ&pg=1236,2915759&dq=abdelkrim+belachheb&hl=en; http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false",6,1984,"Hines Boulevard Pawn Shop in Dallas, Texas"
Welding shop shooting,11,"Miami, Florida",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",3,One shotgun,"http://news.google.com/newspapers?id=uuYLAAAAIBAJ&sjid=C1kDAAAAIBAJ&pg=4879,1435085&dq=carl+robert+brown",25.796491,Mossberg 500 Persuader pump-action shotgun with pistol grip,Male,Other,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene.","['junior', 'high', 'school', 'teacher', 'carl', 'robert', 'brown', '51', 'opened', 'fire', 'inside', 'welding', 'shop', 'later', 'shot', 'dead', 'witness', 'fled', 'scene', 'second', 'wife', 'left', 'refused', 'seek', 'psychological', 'help', 'become', 'increasingly', 'isolated', 'one', 'former', 'student', 'said', 'rocker']",8/20/1982,white,Yes,"His second wife left him because he refused to seek psychological help. He had become increasingly isolated. One former student said he was ""off his rocker.""",-80.226683,http://www.nytimes.com/1982/08/21/us/gunman-in-miami-kills-8-in-rampage.html; http://www.nytimes.com/1982/08/24/us/no-charges-planned-against-miami-man-who-shot-gunman.html; http://www.nytimes.com/1982/10/14/us/florida-city-rescinds-law-on-buying-guns.html,8,1982,"Garcia Gun Center in Hialeah, Fla."
